col1 col2
0.7 0.223
0.9 0.23600000000000002
1.1 0.23010000000000003
1.3 0.2163
1.5 0.2005
1.7 0.1847
1.9 0.1699
2.0 0.163
2.3 0.1456
2.5 0.134
2.7 0.1254
2.9 0.11679999999999999
3.1 0.11019999999999999
3.3 0.1066
3.56 0.10804
3.7 0.1128
3.9 0.1266
4.1 0.1504
4.44 0.22096
4.5 0.23800000000000002
4.7 0.3058
4.9 0.39359999999999995
5.1 0.504
5.3 0.638
